50.73,-15.7,-11.1,50.81,-16.66,-11.06,0.9641576635,0.69,0.6133,3.25,0.01
50.72,-15.47,-11.12,50.82,-16.89,-11.05,1.4252368224,1.02,0.9106,4.36,1.63
50.7,-15.28,-11.12,50.84,-17.08,-11.04,1.807207791,1.29,1.1566,5.47,2.6
50.69,-15.16,-11.13,50.85,-17.2,-11.03,2.0487069092,1.46,1.3156,6.17,0.5
50.68,-15.05,-11.14,50.86,-17.31,-11.02,2.2703303724,1.61,1.4624,6.55,0.03
50.6,-15.87,-10.44,50.7,-16.29,-11.56,1.200333287,0.73,0.7581,3.83,0.35
50.59,-15.82,-10.31,50.71,-16.34,-11.69,1.4795945391,0.88,0.9356,4.59,2.71
50.58,-15.77,-10.18,50.72,-16.39,-11.82,1.7588632693,1.05,1.1138,5.25,2.46
50.57,-15.74,-10.09,50.73,-16.42,-11.91,1.9494614641,1.17,1.2383,6.41,0.67
50.55,-15.65,-9.86,50.75,-16.51,-12.14,2.4449948875,1.46,1.557,7.05,0
50.53,-15.56,-9.62,50.77,-16.6,-12.38,2.9591890781,1.77,1.8916,7.05,0
50.79,-15.87,-11.33,50.75,-16.69,-11.93,1.0168579055,0.59,0.5427,3.59,0.02
50.8,-15.74,-11.23,50.74,-16.82,-12.03,1.3453624047,0.78,0.7213,4.69,1.11
50.8,-15.66,-11.17,50.74,-16.9,-12.09,1.5451860729,0.89,0.8299,5.25,3.01
50.81,-15.51,-11.07,50.73,-17.05,-12.19,1.9058856209,1.1,1.0283,5.58,1.3
50.81,-15.43,-11.01,50.73,-17.13,-12.25,2.1057065323,1.22,1.1384,6.41,0.19
50.83,-16.33,-10.78,50.81,-15.97,-11.42,0.7345747069,0.55,0.5668,3.45,0
50.83,-16.39,-10.67,50.81,-15.91,-11.53,0.9850888285,0.74,0.76,3.92,0.03
50.83,-16.53,-10.41,50.81,-15.77,-11.79,1.5755633913,1.19,1.2155,5.2,3.38
50.84,-16.62,-10.26,50.8,-15.68,-11.94,1.9255129187,1.46,1.4861,5.64,0.51
50.84,-16.71,-10.09,50.8,-15.59,-12.11,2.3100649342,1.76,1.7827,6.75,0
50.85,-16.89,-9.76,50.79,-15.41,-12.44,3.062090789,2.32,2.3633,7.05,0
50.19,-16.31,-11.15,49.73,-17.07,-11.61,1.00039992,0.69,0.6584,4.01,1.46
50.22,-16.27,-11.12,49.7,-17.11,-11.64,1.116422859,0.77,0.7383,4.69,3.09
50.27,-16.2,-11.07,49.65,-17.18,-11.69,1.3149904943,0.91,0.8742,5.31,1.95
50.33,-16.1,-11.01,49.59,-17.28,-11.75,1.5772127314,1.09,1.0482,6.17,0.05
50.38,-16.02,-10.96,49.54,-17.36,-11.8,1.7907540311,1.24,1.1914,6.75,0
50.12,-16.69,-11.15,49.66,-16.41,-11.57,0.6829348432,0.59,0.6018,3.45,0.07
50.19,-16.73,-11.08,49.59,-16.37,-11.64,0.8962142601,0.79,0.7885,4.8,2
50.25,-16.77,-11.02,49.53,-16.33,-11.7,1.0836973747,0.94,0.9517,5.47,3.01
50.33,-16.81,-10.95,49.46,-16.29,-11.77,1.3037254312,1.14,1.1461,5.92,0.23
50.35,-16.83,-10.92,49.43,-16.27,-11.8,1.3908270921,1.22,1.2202,6.55,0.04
49.59,-16.16,-11.03,50.07,-16.7,-11.37,0.7984985911,0.62,0.588,3.59,0.12
49.5,-16.06,-10.97,50.16,-16.8,-11.43,1.0930690738,0.83,0.8074,4.48,3.1
49.47,-16.03,-10.94,50.19,-16.83,-11.46,1.1953242238,0.92,0.882,5.36,3.21
49.42,-15.97,-10.91,50.24,-16.89,-11.49,1.3620572675,1.05,1.0055,5.58,1.04
49.35,-15.89,-10.86,50.31,-16.97,-11.54,1.5969971822,1.22,1.179,6.28,0.02
49.28,-16.65,-11.55,48.7,-16.95,-11.23,0.7271863585,0.66,0.6694,4.23,0.99
49.36,-16.61,-11.59,48.62,-16.99,-11.19,0.9230384607,0.86,0.851,5.41,3.23
49.41,-16.59,-11.62,48.57,-17.01,-11.16,1.045753317,0.96,0.9651,5.99,1.14
49.46,-16.56,-11.64,48.52,-17.04,-11.14,1.1679041057,1.08,1.078,5.99,0.1
49.52,-16.53,-11.68,48.46,-17.07,-11.1,1.3234802605,1.23,1.22,6.08,0
60.02,-0.98,1.26,59.54,-1,1.24,0.4808326112,0.42,0.4808,2.95,0.73
60.14,-0.98,1.26,59.42,-1,1.24,0.7205553414,0.64,0.7205,3.92,1.18
60.26,-0.97,1.26,59.3,-1.01,1.24,0.9610411021,0.85,0.961,5.1,1.21
60.42,-0.96,1.27,59.14,-1.02,1.23,1.2820296408,1.14,1.2819,6.75,0.62
59.95,-0.67,1.27,59.99,-1.19,1.29,0.521919534,0.73,0.5034,3.59,0.81
59.94,-0.55,1.26,60,-1.31,1.3,0.7634133874,1.07,0.7372,4.53,1.21
59.93,-0.48,1.26,60.01,-1.38,1.3,0.9044335244,1.28,0.8744,5.05,1.26
59.93,-0.46,1.26,60.01,-1.4,1.3,0.9442457307,1.32,0.9132,5.41,1.24
