36.11,-1.35,-27.3,37.0557527021,-1.1838931802,-27.3124820154,1.02
35.85,-1.4,-27.12,35.826705552,-0.0338491399,-27.2268804083,1.02
35.86,-1.51,-26.93,35.6523106968,-1.052773549,-25.4637755164,1.02
35.92,-1.62,-28.36,35.9169696682,-0.922013583,-27.6296900442,1.02
36.29,-1.66,-28.44,36.2030677815,-2.8062173998,-25.4327891815,1.02
34.72,-1.35,-28.24,35.0359047956,-0.5104141003,-27.6749756508,1.02
36.22,-1.74,-28.3,37.0257844386,-2.2708975071,-27.6216309631,1.02
34.77,-1.24,-27.99,34.2521773925,-0.6925875292,-27.5539846616,1.02
33.18,-1.09,-28.1,33.842770174,-0.0889568272,-29.05053182,1.02
50.65,-16.21,-11.23,51.4280366636,-16.1850529326,-11.2643022176,1.02
50.77,-16.18,-11.08,50.6468681195,-14.5663243028,-11.1593876598,1.02
50.65,-16.08,-11,50.5236542795,-15.5114442577,-9.4887108046,1.02
50.77,-16.28,-11.63,50.8296830663,-15.0465499631,-10.7255719953,1.02
50.82,-16.15,-11.1,50.8466452742,-16.8694224033,-9.8062239084,1.02
49.96,-16.69,-11.38,50.5377868363,-15.7576057921,-10.8022131637,1.02
49.89,-16.55,-11.36,50.5539528543,-16.950971528,-10.7290448026,1.02
49.83,-16.43,-11.2,49.1095883001,-15.6286164066,-10.6915441391,1.02
48.99,-16.8,-11.39,49.6870532527,-16.4405955139,-11.7676792905,1.02
59.78,-0.99,1.25,60.7192041346,-0.9514540846,1.273503607,1.02
59.97,-0.93,1.28,59.8917010179,-0.0643612535,1.2425904863,1.02
59.64,-1.01,1.21,59.6017072357,-0.8792764255,2.5238379459,1.02
59.55,-1.12,1.07,59.5434873087,-0.4101166452,1.6719587557,1.02
59.52,-0.98,1.25,59.5111099556,-1.7978840894,2.2215548577,1.02
58.99,-0.53,0.81,59.7452247654,-0.1003564432,1.3643123107,1.02
59.09,-0.45,0.9,59.7800610544,-0.8844454661,1.4971099314,1.02
58.62,-0.49,0.91,58.0841376145,-0.0968022756,1.4710896731,1.02
58.85,-0.54,0.76,59.4739869404,-0.1550065673,0.1880894659,1.02
55.53,-27.1,2.83,56.487561609,-27.0202832362,2.8348022147,1.02
55.63,-27.37,2.06,56.6083260349,-27.3053010839,2.0747042991,1.02
55.57,-27.11,2.8,55.5791206019,-24.8389701269,2.5947864572,1.02
55.47,-27.47,2.1,55.527284373,-24.9843563382,1.9430906306,1.02
55.88,-27.21,2.76,55.866999012,-26.8641737202,4.0132952396,1.02
55.9,-27.43,1.98,55.8827794404,-27.1077295267,3.1669885752,1.02
55.63,-27.25,2.76,55.6501551005,-25.8273858213,3.6518631982,1.02
55.64,-27.62,1.97,55.698733362,-26.1303083637,2.9417701714,1.02
55.56,-27.06,2.8,55.6520306114,-28.2386997542,4.1167456714,1.02
55.61,-27.33,2.15,55.7270905992,-28.5722580758,3.4873941876,1.02
55.66,-28.28,2.23,56.3550771836,-27.4005929555,2.848273075,1.02
55.6,-28.21,2.29,56.5168364527,-28.9166349245,3.2306891084,1.02
55.44,-28.09,2.22,54.6851651334,-27.171295,2.7219329284,1.02
55.53,-28.15,2.28,56.2029161487,-27.4536780722,1.6222976077,1.02
63.54,12.36,20.91,64.4337755145,12.43740654,20.9838062358,1.02
63.67,12.37,20.86,63.6019078812,13.7499076316,21.0059116831,1.02
63.93,12.25,20.64,64.0212811866,12.473312903,22.2520909568,1.02
63.61,12.18,20.76,63.5766313263,13.37332733,21.8071407596,1.02
63.75,12.17,20.73,63.6713001295,13.0220116417,19.9749374742,1.02
63.03,12.8,20.09,63.8224980114,13.6930612061,21.0010725245,1.02
60.5,13.66,21.2,61.2738029916,13.0574397175,21.6291770396,1.02
61.26,13.2,20.82,60.4769729642,13.8335505091,21.3742129681,1.02
63.06,12.46,19.13,63.6845958774,13.0189021363,18.5640231531,1.02
46.48,12.76,-13.44,47.4149566819,12.7553017252,-13.3497931242,1.02
46.31,12.74,-13.34,46.354120656,14.1974523369,-13.5370722635,1.02
46.44,12.61,-13.15,46.4950919761,12.7418868518,-11.4872239946,1.02
46.52,12.68,-13.4,46.5987238178,13.6824986176,-12.6914856396,1.02
46.59,12.64,-13.55,46.399983022,10.8866615209,-11.2755543539,1.02
46.37,11.52,-12.74,46.8749229724,12.2595336465,-12.2513977701,1.02
46.5,11.45,-12.65,47.2555808764,10.6787962107,-11.7268278765,1.02
46.11,11.55,-12.72,45.5114996886,12.2762353176,-12.3007407457,1.02
46.18,11.43,-12.72,47.0464756287,12.0601640936,-13.3651680006,1.02
42.33,35.94,20.39,43.2686645725,35.9108722705,20.3768455415,1.02
41.48,35.71,20.41,41.5071627159,37.6501939903,20.413880388,1.02
41.56,35.85,21.71,41.5184667157,35.8638444281,23.4405535115,1.02
41.86,35.78,20.33,41.8760832961,37.1651738734,21.7875487056,1.02
41.9,35.96,20.46,41.8458663094,35.1466743067,21.4991027933,1.02
43.11,35.49,22.27,43.9972780914,36.4127048029,23.2474551751,1.02
43.99,34.57,23.34,44.4229878698,34.0532951408,23.9368211178,1.02
43.35,35.28,22.09,42.5344548071,36.2115974329,23.086777458,1.02
42.93,35.16,23.56,42.3597820167,34.7473422489,24.5941453338,1.02
76.86,4.02,35.14,78.0504217803,4.0378563267,35.1661892792,1.02
78.31,1.36,37.23,78.3935130258,2.7782815587,37.4632605203,1.02
78.47,1.63,35.43,78.7558977367,1.8037378554,37.6028227991,1.02
78.63,1.16,34.25,78.8907850036,2.1982502955,35.4789493293,1.02
